id,scen,year,clim
1,ssp1,2015,2015
2,ssp1,2020,2020
3,ssp1,2030,2030
4,ssp1,2040,2040
5,ssp1,2050,2050
6,ssp1,2060,2060
7,ssp1,2070,2070
8,ssp1,2080,2080
9,ssp1,2090,2090
10,ssp1,2100,2100
11,ssp2,2015,2015
12,ssp2,2020,2020
13,ssp2,2030,2030
14,ssp2,2040,2040
15,ssp2,2050,2050
16,ssp2,2060,2060
17,ssp2,2070,2070
18,ssp2,2080,2080
19,ssp2,2090,2090
20,ssp2,2100,2100
21,ssp3,2015,2015
22,ssp3,2020,2020
23,ssp3,2030,2030
24,ssp3,2040,2040
25,ssp3,2050,2050
26,ssp3,2060,2060
27,ssp3,2070,2070
28,ssp3,2080,2080
29,ssp3,2090,2090
30,ssp3,2100,2100
