region_gea,year,value
AFR,2015,8.240851003
AFR,2020,8.198221823
AFR,2025,8.124717023
AFR,2030,8.025961133
AFR,2035,8.593627633
AFR,2040,9.492575983
AFR,2045,10.74034612
AFR,2050,12.33119887
AFR,2055,14.24394068
AFR,2060,16.33950622
AFR,2070,20.22232211
AFR,2080,22.57738987
AFR,2090,23.34041157
AFR,2100,23.36049977
CPA,2015,17.28859351
CPA,2020,18.82953478
CPA,2025,21.14641685
CPA,2030,24.0160809
CPA,2035,27.06965572
CPA,2040,30.36258811
CPA,2045,33.72182305
CPA,2050,36.69279618
CPA,2055,39.12858064
CPA,2060,41.29347287
CPA,2070,44.63716266
CPA,2080,46.7971994
CPA,2090,48.14080056
CPA,2100,48.84609191
EEU,2015,57.1911813
EEU,2020,55.73153839
EEU,2025,54.55456816
EEU,2030,53.59562681
EEU,2035,52.804909
EEU,2040,52.14565332
EEU,2045,51.59221013
EEU,2050,51.12901223
EEU,2055,50.7423305
EEU,2060,50.42075914
EEU,2070,49.92444373
EEU,2080,49.56909152
EEU,2090,49.31416577
EEU,2100,49.13140298
FSU,2015,67.0037046
FSU,2020,68.97024483
FSU,2025,71.09102287
FSU,2030,74.71615444
FSU,2035,77.54907243
FSU,2040,79.61100341
FSU,2045,81.04091363
FSU,2050,82.07463813
FSU,2055,83.0169021
FSU,2060,84.00013919
FSU,2070,85.55961291
FSU,2080,86.38808273
FSU,2090,86.82901691
FSU,2100,87.01301297
LAC,2015,52.09859716
LAC,2020,54.85967054
LAC,2025,57.60712934
LAC,2030,61.51532928
LAC,2035,65.00895774
LAC,2040,68.10032549
LAC,2045,70.65770317
LAC,2050,72.59901642
LAC,2055,73.93676665
LAC,2060,74.70665941
LAC,2070,75.02723147
LAC,2080,74.59970893
LAC,2090,74.03939802
LAC,2100,73.57350328
MEA,2015,171.6513455
MEA,2020,174.83205
MEA,2025,177.986915
MEA,2030,181.1156648
MEA,2035,184.1806043
MEA,2040,186.6751087
MEA,2045,188.5718022
MEA,2050,189.9849622
MEA,2055,191.1172789
MEA,2060,192.0662002
MEA,2070,193.4324716
MEA,2080,194.060928
MEA,2090,194.1424671
MEA,2100,193.9399918
NAM,2015,133.615607
NAM,2020,130.2187025
NAM,2025,127.5434784
NAM,2030,125.4088971
NAM,2035,123.6878693
NAM,2040,122.2885855
NAM,2045,121.1431167
NAM,2050,120.2001819
NAM,2055,119.4204016
NAM,2060,118.7730958
NAM,2070,117.7840216
NAM,2080,117.0917833
NAM,2090,116.6039723
NAM,2100,116.2585602
PAO,2015,82.19968531
PAO,2020,76.23664035
PAO,2025,71.58518211
PAO,2030,67.90165299
PAO,2035,64.94962147
PAO,2040,62.56111843
PAO,2045,60.61359043
PAO,2050,59.01560211
PAO,2055,57.69763699
PAO,2060,56.60599235
PAO,2070,54.94219107
PAO,2080,53.78074211
PAO,2090,52.96377427
PAO,2100,52.38603379
PAS,2015,147.240102
PAS,2020,149.0756259
PAS,2025,150.8700094
PAS,2030,152.6274388
PAS,2035,153.4488934
PAS,2040,153.9942286
PAS,2045,154.2862189
PAS,2050,154.4075112
PAS,2055,154.416969
PAS,2060,154.3448078
PAS,2070,154.0360648
PAS,2080,153.6444212
PAS,2090,153.2796393
PAS,2100,152.985472
SAS,2015,67.23114451
SAS,2020,67.7333054
SAS,2025,68.21577597
SAS,2030,68.68055669
SAS,2035,69.79228719
SAS,2040,70.92792145
SAS,2045,71.91809103
SAS,2050,72.70553922
SAS,2055,73.29329332
SAS,2060,73.69313648
SAS,2070,73.99523498
SAS,2080,73.85698732
SAS,2090,73.54118424
SAS,2100,73.2165659
WEU,2015,78.16968374
WEU,2020,76.57344013
WEU,2025,75.26033544
WEU,2030,74.21046692
WEU,2035,73.37257551
WEU,2040,72.70051886
WEU,2045,72.13791532
WEU,2050,71.66026472
WEU,2055,71.25705016
WEU,2060,70.91457511
WEU,2070,70.35539704
WEU,2080,69.9240168
WEU,2090,69.60037839
WEU,2100,69.36126333
